birthday,chamber,title,first_name,middle_name,last_name,name_suffix,nickname,party,state,state_name,term_start,term_end,in_office,phone,twitter_id
1952-02-17,house,Rep,J.,Randy,Forbes,,,R,VA,Virginia,2015-01-06,2017-01-03,false,202-225-6365,
1951-07-05,house,Rep,John,,Fleming,,,R,LA,Louisiana,2015-01-06,2017-01-03,false,202-225-2777,
1963-06-28,house,Rep,Michael,G.,Fitzpatrick,,,R,PA,Pennsylvania,2015-01-06,2017-01-03,false,202-225-4276,
1973-02-07,house,Rep,Stephen,Lee,Fincher,,,R,TN,Tennessee,2015-01-06,2017-01-03,false,202-225-4714,
1941-07-04,house,Rep,Sam,,Farr,,,D,CA,California,2015-01-06,2017-01-03,false,202-225-2861,
1964-02-09,house,Rep,Renee,L.,Ellmers,,,R,NC,North Carolina,2015-01-06,2017-01-03,false,202-225-4531,
1958-06-28,house,Rep,Donna,F.,Edwards,,,D,MD,Maryland,2015-01-06,2017-01-03,false,202-225-8699,
1944-09-01,house,Rep,Ander,,Crenshaw,,,R,FL,Florida,2015-01-06,2017-01-03,false,202-225-2501,
1956-05-20,house,Rep,John,C.,Carney,,,D,DE,Delaware,2015-01-06,2017-01-03,false,202-225-4165,
1938-01-10,house,Rep,Lois,,Capps,,,D,CA,California,2015-01-06,2017-01-03,false,202-225-3601,
1946-11-11,house,Rep,Corrine,,Brown,,,D,FL,Florida,2015-01-06,2017-01-03,false,202-225-0123,
1956-02-21,house,Rep,Charles,W.,Boustany,Jr.,,R,LA,Louisiana,2015-01-06,2017-01-03,false,202-225-2031,
1952-04-20,house,Rep,Dan,,Benishek,,,R,MI,Michigan,2015-01-06,2017-01-03,false,202-225-4735,
1961-05-03,senate,Sen,David,,Vitter,,,R,LA,Louisiana,2011-01-05,2017-01-03,false,202-224-4623,
1939-12-02,senate,Sen,Harry,M.,Reid,,,D,NV,Nevada,2011-01-05,2017-01-03,false,202-224-3542,
1936-07-20,senate,Sen,Barbara,A.,Mikulski,,,D,MD,Maryland,2011-01-05,2017-01-03,false,202-224-4654,
1959-09-15,senate,Sen,Mark,Steven,Kirk,,,R,IL,Illinois,2011-01-05,2017-01-03,false,202-224-2854,
1943-05-16,senate,Sen,Daniel,Ray,Coats,,,R,IN,Indiana,2011-01-05,2017-01-03,false,202-224-5623,
1940-11-11,senate,Sen,Barbara,,Boxer,,,D,CA,California,2011-01-05,2017-01-03,false,202-224-3553,
1968-06-27,senate,Sen,Kelly,,Ayotte,,,R,NH,New Hampshire,2011-01-05,2017-01-03,false,202-224-3324,
1954-05-07,house,Rep,Candice,S.,Miller,,,R,MI,Michigan,2015-01-06,2016-12-31,false,202-225-2106,
1952-03-30,house,Rep,Janice,,Hahn,,,D,CA,California,2015-01-06,2016-12-04,false,202-225-8220,
1967-07-01,house,Rep,Mark,,Takai,,,D,HI,Hawaii,2015-01-06,2016-07-20,false,202-225-2726,
1943-05-25,house,Rep,Ed,,Whitfield,,,R,KY,Kentucky,2015-01-06,2016-09-07,false,202-225-3115,
1956-11-21,house,Rep,Chaka,,Fattah,,,D,PA,Pennsylvania,2015-01-06,2016-06-23,false,202-225-4001,
1949-11-17,house,Rep,John,A.,Boehner,,,R,OH,Ohio,2015-01-06,2015-10-31,false,202-225-6205,
1981-05-28,house,Rep,Aaron,,Schock,,,R,IL,Illinois,2015-01-06,2015-03-31,false,202-225-6201,
1958-10-09,house,Rep,Alan,,Nunnelee,,,R,MS,Mississippi,2015-01-06,2015-02-06,false,202-225-4306,
1950-06-18,senate,Sen,Mike,,Johanns,,,R,NE,Nebraska,2009-01-06,2015-01-03,false,202-224-4224,
1931-03-18,house,Rep,Howard,,Coble,,,R,NC,North Carolina,2013-01-03,2015-01-03,false,202-225-3065,
1970-02-07,house,Rep,Michael,G.,Grimm,,,R,NY,New York,2013-01-03,2015-01-03,false,202-225-3371,
1960-11-03,senate,Sen,John,E.,Walsh,,,D,MT,Montana,2014-02-11,2015-01-03,false,202-224-2651,
1974-01-07,house,Rep,Vance,,McAllister,,,R,LA,Louisiana,2013-11-16,2015-01-03,false,202-225-8490,
1961-12-02,house,Rep,Pete,P.,Gallego,,,D,TX,Texas,2013-01-03,2015-01-03,false,202-225-4511,
1973-04-29,house,Rep,Steven,A.,Horsford,,,D,NV,Nevada,2013-01-03,2015-01-03,false,202-225-9894,
1951-10-06,house,Rep,Kerry,L.,Bentivolio,,,R,MI,Michigan,2013-01-03,2015-01-03,false,202-225-8171,
1949-09-22,house,Rep,William,L.,Enyart,,,D,IL,Illinois,2013-01-03,2015-01-03,false,202-225-5661,
1963-10-19,house,Rep,Joe,,Garcia,,,D,FL,Florida,2013-01-03,2015-01-03,false,202-225-2778,
1941-09-06,house,Rep,Gloria,,Negrete McLeod,,,D,CA,California,2013-01-03,2015-01-03,false,202-225-6161,
1968-07-04,house,Rep,Daniel,B.,Maffei,,,D,NY,New York,2013-01-03,2015-01-03,false,202-225-3701,
1956-11-14,house,Rep,Steve,,Stockman,,,R,TX,Texas,2013-01-03,2015-01-03,false,202-225-1555,
1945-08-25,house,Rep,Ron,,Barber,,,D,AZ,Arizona,2013-01-03,2015-01-03,false,202-225-2542,
1939-01-30,house,Rep,Frank,R.,Wolf,,,R,VA,Virginia,2013-01-03,2015-01-03,false,202-225-5136,
1939-09-12,house,Rep,Henry,A.,Waxman,,,D,CA,California,2013-01-03,2015-01-03,false,202-225-3976,
1951-09-18,house,Rep,John,F.,Tierney,,,D,MA,Massachusetts,2013-01-03,2015-01-03,false,202-225-8020,
1962-01-29,house,Rep,Lee,R.,Terry,,,R,NE,Nebraska,2013-01-03,2015-01-03,false,202-225-4155,
1965-10-10,house,Rep,Steve,,Southerland,,,R,FL,Florida,2013-01-03,2015-01-03,false,202-225-5235,
1948-10-03,house,Rep,Allyson,Y.,Schwartz,,,D,PA,Pennsylvania,2013-01-03,2015-01-03,false,202-225-6111,
1973-11-27,house,Rep,Jon,,Runyan,,,R,NJ,New Jersey,2013-01-03,2015-01-03,false,202-225-4765,
1963-06-02,house,Rep,Mike,,Rogers,,,R,MI,Michigan,2013-01-03,2015-01-03,false,202-225-4872,
1949-05-20,house,Rep,Nick,J.,Rahall,II,,D,WV,West Virginia,2013-01-03,2015-01-03,false,202-225-3452,
1940-05-28,house,Rep,Thomas,E.,Petri,,Tom,R,WI,Wisconsin,2013-01-03,2015-01-03,false,202-225-2476,
1943-06-28,house,Rep,Ed,,Pastor,,,D,AZ,Arizona,2013-01-03,2015-01-03,false,202-225-4065,
1949-01-20,house,Rep,William,L.,Owens,,,D,NY,New York,2013-01-03,2015-01-03,false,202-225-4611,
1945-05-16,house,Rep,James,P.,Moran,Jr.,Jim,D,VA,Virginia,2013-01-03,2015-01-03,false,202-225-4376,
1945-05-17,house,Rep,George,,Miller,,,D,CA,California,2013-01-03,2015-01-03,false,202-225-2095,
1948-10-16,house,Rep,Gary,G.,Miller,,,R,CA,California,2013-01-03,2015-01-03,false,202-225-3201,
1955-01-18,house,Rep,Michael,H.,Michaud,,,D,ME,Maine,2013-01-03,2015-01-03,false,202-225-6306,
1938-09-09,house,Rep,Howard,P.,McKeon,,Buck,R,CA,California,2013-01-03,2015-01-03,false,202-225-1956,
1956-08-06,house,Rep,Mike,,McIntyre,,,D,NC,North Carolina,2013-01-03,2015-01-03,false,202-225-2731,
1944-01-05,house,Rep,Carolyn,,McCarthy,,,D,NY,New York,2013-01-03,2015-01-03,false,202-225-5516,
1960-03-21,house,Rep,Jim,,Matheson,,,D,UT,Utah,2013-01-03,2015-01-03,false,202-225-3011,
1948-07-14,house,Rep,Tom,P.,Latham,,,R,IA,Iowa,2013-01-03,2015-01-03,false,202-225-5476,
1955-04-24,house,Rep,Jack,,Kingston,,,R,GA,Georgia,2013-01-03,2015-01-03,false,202-225-5831,
1948-10-15,house,Rep,Rush,D.,Holt,,,D,NJ,New Jersey,2013-01-03,2015-01-03,false,202-225-5801,
1941-02-07,house,Rep,Doc,,Hastings,,,R,WA,Washington,2013-01-03,2015-01-03,false,202-225-5816,
1923-05-03,house,Rep,Ralph,M.,Hall,,,R,TX,Texas,2013-01-03,2015-01-03,false,202-225-6673,
1968-08-21,house,Rep,Tim,,Griffin,,,R,AR,Arkansas,2013-01-03,2015-01-03,false,202-225-2506,
1942-07-10,house,Rep,Phil,,Gingrey,,,R,GA,Georgia,2013-01-03,2015-01-03,false,202-225-2931,
1955-02-25,house,Rep,Jim,,Gerlach,,,R,PA,Pennsylvania,2013-01-03,2015-01-03,false,202-225-4315,
1943-08-15,house,Del,Eni,F. H.,Faleomavaega,,,D,AS,American Samoa,2013-01-03,2015-01-03,false,202-225-8577,
1926-07-08,house,Rep,John,D.,Dingell,,,D,MI,Michigan,2013-01-03,2015-01-03,false,202-225-4071,
1948-03-14,senate,Sen,Thomas,A.,Coburn,,,R,OK,Oklahoma,2011-01-05,2015-01-03,false,202-224-5754,
1945-09-19,house,Del,Donna,M.,Christensen,,,D,VI,US Virgin Islands,2013-01-03,2015-01-03,false,202-225-1790,
1955-07-19,house,Rep,John,Bayard Taylor,Campbell,III,,R,CA,California,2013-01-03,2015-01-03,false,202-225-5611,
1953-07-09,house,Rep,Dave,Lee,Camp,,,R,MI,Michigan,2013-01-03,2015-01-03,false,202-225-3561,
1946-05-14,house,Rep,Paul,C.,Broun,Jr.,,R,GA,Georgia,2013-01-03,2015-01-03,false,202-225-4101,
1957-10-30,house,Rep,Bruce,L.,Braley,,,D,IA,Iowa,2013-01-03,2015-01-03,false,202-225-2911,
1950-06-01,house,Rep,Timothy,H.,Bishop,,,D,NY,New York,2013-01-03,2015-01-03,false,202-225-3826,
1955-10-31,house,Rep,John,,Barrow,,,D,GA,Georgia,2013-01-03,2015-01-03,false,202-225-2823,
1947-12-28,house,Rep,Spencer,Thomas,Bachus,III,,R,AL,Alabama,2013-01-03,2015-01-03,false,202-225-4921,
1956-04-06,house,Rep,Michele,Marie,Bachmann,,,R,MN,Minnesota,2013-01-03,2015-01-03,false,202-225-2331,
1950-07-18,senate,Sen,Mark,E.,Udall,,,D,CO,Colorado,2009-01-06,2015-01-03,false,202-224-5941,
1937-06-18,senate,Sen,John,D.,Rockefeller,IV,Jay,D,WV,West Virginia,2009-01-06,2015-01-03,false,202-224-6472,
1963-01-10,senate,Sen,Mark,,Pryor,,,D,AR,Arkansas,2009-01-06,2015-01-03,false,202-224-2353,
1934-06-28,senate,Sen,Carl,,Levin,,,D,MI,Michigan,2009-01-06,2015-01-03,false,202-224-6221,
1955-11-23,senate,Sen,Mary,L.,Landrieu,,,D,LA,Louisiana,2009-01-06,2015-01-03,false,202-224-5824,
1946-12-28,senate,Sen,Tim,P.,Johnson,,,D,SD,South Dakota,2009-01-06,2015-01-03,false,202-224-5842,
1939-11-19,senate,Sen,Thomas,,Harkin,,Tom,D,IA,Iowa,2009-01-06,2015-01-03,false,202-224-3254,
1953-05-26,senate,Sen,Kay,,Hagan,,,D,NC,North Carolina,2009-01-06,2015-01-03,false,202-224-6342,
1943-11-10,senate,Sen,Saxby,,Chambliss,,,R,GA,Georgia,2009-01-06,2015-01-03,false,202-224-3521,
1962-03-30,senate,Sen,Mark,,Begich,,,D,AK,Alaska,2009-01-06,2015-01-03,false,202-224-3004,
1963-06-06,house,Rep,Eric,I.,Cantor,,,R,VA,Virginia,2013-01-03,2014-08-18,false,202-225-2815,
1957-08-04,house,Rep,Robert,E.,Andrews,,Rob,D,NJ,New Jersey,2013-01-03,2014-02-18,false,202-225-6501,
1941-12-11,senate,Sen,Max,S.,Baucus,,,D,MT,Montana,2009-01-06,2014-02-06,false,202-224-2651,
1976-04-20,house,Rep,Trey,,Radel,,,R,FL,Florida,2013-01-03,2014-01-27,false,202-225-2536,
1945-08-26,house,Rep,Melvin,L.,Watt,,Mel,D,NC,North Carolina,2013-01-03,2014-01-06,false,202-225-1510,
1965-06-22,senate,Sen,Jeffrey,Scott,Chiesa,,,R,NJ,New Jersey,2013-06-10,2013-10-31,false,202-224-3224,
1930-12-16,house,Rep,C.,W. Bill,Young,,,R,FL,Florida,2013-01-03,2013-10-18,false,202-225-5961,
1946-12-05,house,Rep,Rodney,M.,Alexander,,,R,LA,Louisiana,2013-01-03,2013-09-27,false,202-225-8490,
1959-11-19,house,Rep,Jo,,Bonner,,,R,AL,Alabama,2013-01-03,2013-08-02,false,202-225-4931,
1969-04-04,senate,Sen,William,,Cowan,,Mo,D,MA,Massachusetts,2013-02-06,2013-07-16,false,202-224-2742,
1924-01-23,senate,Sen,Frank,R.,Lautenberg,,,D,NJ,New Jersey,2009-01-06,2013-06-03,false,202-224-3224,
1943-12-11,senate,Sen,John,Forbes,Kerry,,,D,MA,Massachusetts,2009-01-06,2013-02-01,false,202-224-2742,
1950-09-16,house,Rep,Jo Ann,H.,Emerson,,,R,MO,Missouri,2013-01-03,2013-01-22,false,202-225-4404,
1951-09-02,senate,Sen,Jim,W.,DeMint,,,R,SC,South Carolina,2011-01-05,2013-01-01,false,202-224-6121,
1948-11-04,house,Rep,David,Alan,Curson,,,D,MI,Michigan,2012-11-13,2013-01-03,false,202-225-8171,
1941-05-02,house,Rep,Robert,L.,Turner,,,R,NY,New York,2011-09-13,2013-01-03,false,202-225-6616,
1958-08-27,house,Rep,Kathleen,C.,Hochul,,,D,NY,New York,2011-06-01,2013-01-03,false,202-225-5265,
1937-11-03,house,Rep,Lynn,C.,Woolsey,,,D,CA,California,2011-01-05,2013-01-03,false,202-225-5161,
1961-02-07,house,Rep,Allen,,West,,,R,FL,Florida,2011-01-05,2013-01-03,false,202-225-3026,
1961-12-27,house,Rep,Joe,,Walsh,,,R,IL,Illinois,2011-01-05,2013-01-03,false,202-225-3711,
1934-07-21,house,Rep,Edolphus,,Towns,,Ed,D,NY,New York,2011-01-05,2013-01-03,false,202-225-5936,
1963-07-31,house,Rep,Betty,,Sutton,,,D,OH,Ohio,2011-01-05,2013-01-03,false,202-225-3401,
1965-01-01,house,Rep,John,A.,Sullivan,,,R,OK,Oklahoma,2011-01-05,2013-01-03,false,202-225-2211,
1941-04-16,house,Rep,Clifford,B.,Stearns,,Cliff,R,FL,Florida,2011-01-05,2013-01-03,false,202-225-5744,
1931-11-11,house,Rep,Fortney,H.,Stark,,Pete,D,CA,California,2011-01-05,2013-01-03,false,202-225-5065,
1971-12-31,house,Rep,Heath,,Shuler,,,D,NC,North Carolina,2011-01-05,2013-01-03,false,202-225-6401,
1951-11-29,house,Rep,Jean,,Schmidt,,,R,OH,Ohio,2011-01-05,2013-01-03,false,202-225-3164,
1964-01-23,house,Rep,Robert,T.,Schilling,,Bobby,R,IL,Illinois,2011-01-05,2013-01-03,false,202-225-5905,
1952-10-14,house,Rep,Steven,R.,Rothman,,,D,NJ,New Jersey,2011-01-05,2013-01-03,false,202-225-5061,
1961-08-02,house,Rep,Mike,,Ross,,,D,AR,Arkansas,2011-01-05,2013-01-03,false,202-225-3772,
1965-09-16,house,Rep,David,,Rivera,,,R,FL,Florida,2011-01-05,2013-01-03,false,202-225-2778,
1962-04-14,house,Rep,Laura,,Richardson,,,D,CA,California,2011-01-05,2013-01-03,false,202-225-7924,
1944-11-10,house,Rep,Silvestre,,Reyes,,,D,TX,Texas,2011-01-05,2013-01-03,false,202-225-4831,
1955-10-05,house,Rep,Dennis,,Rehberg,,Denny,R,MT,Montana,2011-01-05,2013-01-03,false,202-225-3211,
1976-11-03,house,Rep,Ben,,Quayle,,,R,AZ,Arizona,2011-01-05,2013-01-03,false,202-225-3361,
1962-03-05,house,Rep,Todd,R.,Platts,,,R,PA,Pennsylvania,2011-01-05,2013-01-03,false,202-225-5836,
1959-06-07,house,Rep,Mike,,Pence,,,R,IN,Indiana,2011-01-05,2013-01-03,false,202-225-3021,
1935-08-20,house,Rep,Ronald,E.,Paul,,Ron,R,TX,Texas,2011-01-05,2013-01-03,false,202-225-2831,
1936-09-03,house,Rep,John,W.,Olver,,,D,MA,Massachusetts,2011-01-05,2013-01-03,false,202-225-5335,
1941-08-01,house,Rep,Sue,W.,Myrick,,,R,NC,North Carolina,2011-01-05,2013-01-03,false,202-225-1976,
1953-05-19,house,Rep,R.,Bradley,Miller,,Brad,D,NC,North Carolina,2011-01-05,2013-01-03,false,202-225-3032,
1944-03-24,house,Rep,Donald,A.,Manzullo,,,R,IL,Illinois,2011-01-05,2013-01-03,false,202-225-5676,
1967-08-12,house,Rep,Connie,,Mack,IV,,R,FL,Florida,2011-01-05,2013-01-03,false,202-225-2536,
1946-09-22,house,Rep,Daniel,E.,Lungren,,,R,CA,California,2011-01-05,2013-01-03,false,202-225-5716,
1934-10-21,house,Rep,Jerry,,Lewis,,,R,CA,California,2011-01-05,2013-01-03,false,202-225-5861,
1970-12-23,house,Rep,Jeff,M.,Landry,,,R,LA,Louisiana,2011-01-05,2013-01-03,false,202-225-4031,
1954-07-22,house,Rep,Steven,C.,LaTourette,,,R,OH,Ohio,2011-01-05,2013-01-03,false,202-225-5731,
1946-10-08,house,Rep,Dennis,J.,Kucinich,,,D,OH,Ohio,2011-01-05,2013-01-03,false,202-225-5871,
1951-01-31,house,Rep,Larry,,Kissell,,,D,NC,North Carolina,2011-01-05,2013-01-03,false,202-225-3715,
1929-09-16,house,Rep,Dale,E.,Kildee,,,D,MI,Michigan,2011-01-05,2013-01-03,false,202-225-3611,
1946-07-23,house,Rep,Timothy,V.,Johnson,,,R,IL,Illinois,2011-01-05,2013-01-03,false,202-225-2371,
1957-03-05,house,Rep,Tim,,Holden,,,D,PA,Pennsylvania,2011-01-05,2013-01-03,false,202-225-5546,
1938-10-27,house,Rep,Maurice,D.,Hinchey,,,D,NY,New York,2011-01-05,2013-01-03,false,202-225-6335,
1945-05-20,house,Rep,Walter,,Herger,,Wally,R,CA,California,2011-01-05,2013-01-03,false,202-225-3076,
1959-12-14,house,Rep,Nan,,Hayworth,,,R,NY,New York,2011-01-05,2013-01-03,false,202-225-5441,
1945-05-05,house,Rep,Charles,A.,Gonzalez,,Charlie,D,TX,Texas,2011-01-05,2013-01-03,false,202-225-3236,
1944-03-07,house,Rep,Elton,W.,Gallegly,,,R,CA,California,2011-01-05,2013-01-03,false,202-225-5811,
1940-03-31,house,Rep,Barney,,Frank,,,D,MA,Massachusetts,2011-01-05,2013-01-03,false,202-225-5931,
1952-07-05,house,Rep,David,T.,Dreier,,,R,CA,California,2011-01-05,2013-01-03,false,202-225-2305,
1940-12-16,house,Rep,Norman,D.,Dicks,,Norm,D,WA,Washington,2011-01-05,2013-01-03,false,202-225-5916,
1962-01-05,house,Rep,Mark,S.,Critz,,,D,PA,Pennsylvania,2011-01-05,2013-01-03,false,202-225-2065,
1959-12-29,house,Rep,Chip,,Cravaack,,,R,MN,Minnesota,2011-01-05,2013-01-03,false,202-225-6211,
1949-09-25,house,Rep,Jerry,F.,Costello,,,D,IL,Illinois,2011-01-05,2013-01-03,false,202-225-5661,
1957-03-02,house,Rep,Hansen,,Clarke,,,D,MI,Michigan,2011-01-05,2013-01-03,false,202-225-2261,
1959-09-12,house,Rep,Ben,,Chandler,,,D,KY,Kentucky,2011-01-05,2013-01-03,false,202-225-4706,
1958-07-10,house,Rep,Russ,,Carnahan,,,D,MO,Missouri,2011-01-05,2013-01-03,false,202-225-2671,
1949-07-30,house,Rep,Francisco,,Canseco,,Quico,R,TX,Texas,2011-01-05,2013-01-03,false,202-225-4511,
1938-06-21,house,Rep,Dan,L.,Burton,,,R,IN,Indiana,2011-01-05,2013-01-03,false,202-225-2276,
1951-05-08,house,Rep,Ann Marie,,Buerkle,,,R,NY,New York,2011-01-05,2013-01-03,false,202-225-3701,
1934-01-10,house,Rep,Leonard,L.,Boswell,,,D,IA,Iowa,2011-01-05,2013-01-03,false,202-225-3806,
1973-08-02,house,Rep,Dan,,Boren,,,D,OK,Oklahoma,2011-01-05,2013-01-03,false,202-225-2701,
1961-10-24,house,Rep,Mary,Whitaker,Bono Mack,,,R,CA,California,2011-01-05,2013-01-03,false,202-225-5330,
1951-01-28,house,Rep,Brian,P.,Bilbray,,,R,CA,California,2011-01-05,2013-01-03,false,202-225-0508,
1937-08-15,house,Rep,Judy,,Biggert,,,R,IL,Illinois,2011-01-05,2013-01-03,false,202-225-3515,
1941-04-15,house,Rep,Howard,L.,Berman,,,D,CA,California,2011-01-05,2013-01-03,false,202-225-4695,
1951-01-20,house,Rep,Shelley,,Berkley,,,D,NV,Nevada,2011-01-05,2013-01-03,false,202-225-5965,
1959-08-16,house,Rep,Rick,,Berg,,,R,ND,North Dakota,2011-01-05,2013-01-03,false,202-225-2611,
1952-01-08,house,Rep,Charles,F.,Bass,,Charlie,R,NH,New Hampshire,2011-01-05,2013-01-03,false,202-225-5206,
1926-06-03,house,Rep,Roscoe,G.,Bartlett,,,R,MD,Maryland,2011-01-05,2013-01-03,false,202-225-2721,
1947-01-23,house,Rep,Joe,,Baca,,,D,CA,California,2011-01-05,2013-01-03,false,202-225-6161,
1958-10-12,house,Rep,Steve,,Austria,,,R,OH,Ohio,2011-01-05,2013-01-03,false,202-225-4324,
1968-03-07,house,Rep,Jason,,Altmire,,,D,PA,Pennsylvania,2011-01-05,2013-01-03,false,202-225-2565,
1947-07-05,house,Rep,W.,Todd,Akin,,,R,MO,Missouri,2011-01-05,2013-01-03,false,202-225-2561,
1956-12-14,house,Rep,Sandy,,Adams,,,R,FL,Florida,2011-01-05,2013-01-03,false,202-225-2706,
1942-11-19,house,Rep,Gary,L.,Ackerman,,,D,NY,New York,2011-01-05,2013-01-03,false,202-225-2601,
1959-09-12,senate,Sen,Scott,,Brown,,,R,MA,Massachusetts,2010-02-04,2013-01-03,false,202-224-4543,
1946-02-09,senate,Sen,Jim,,Webb,,,D,VA,Virginia,2007-01-04,2013-01-03,false,202-224-4024,
1947-02-21,senate,Sen,Olympia,J.,Snowe,,,R,ME,Maine,2007-01-04,2013-01-03,false,202-224-5344,
1941-05-17,senate,Sen,Ben,E.,Nelson,,,D,NE,Nebraska,2007-01-04,2013-01-03,false,202-224-6551,
1932-04-04,senate,Sen,Richard,G.,Lugar,,,R,IN,Indiana,2007-01-04,2013-01-03,false,202-224-4814,
1942-02-24,senate,Sen,Joseph,I.,Lieberman,,,I,CT,Connecticut,2007-01-04,2013-01-03,false,202-224-4041,
1942-04-25,senate,Sen,Jon,,Kyl,,,R,AZ,Arizona,2007-01-04,2013-01-03,false,202-224-4521,
1935-02-07,senate,Sen,Herbert,H.,Kohl,,Herb,D,WI,Wisconsin,2007-01-04,2013-01-03,false,202-224-5653,
1943-07-22,senate,Sen,Kay,Bailey,Hutchison,,,R,TX,Texas,2007-01-04,2013-01-03,false,202-224-5922,
1948-03-12,senate,Sen,Kent,Kent,Conrad,,,D,ND,North Dakota,2007-01-04,2013-01-03,false,202-224-2043,
1943-10-03,senate,Sen,Jeff,,Bingaman,,,D,NM,New Mexico,2007-01-04,2013-01-03,false,202-224-5521,
1924-09-11,senate,Sen,Daniel,Kahikina,Akaka,,,D,HI,Hawaii,2007-01-04,2013-01-03,false,202-224-6361,
1924-09-07,senate,Sen,Daniel,K.,Inouye,,,D,HI,Hawaii,2011-01-05,2012-12-17,false,202-224-3934,
1961-08-04,senate,Sen,Barack,,Obama,,,D,IL,Illinois,2005-01-04,2008-11-16,false,,
